date,aeropuerto_score,aeropuerto_relacion_calidad_precio,aeropuerto_limpieza_vehiculo,aeropuerto_indicaciones_mostrador,aeropuerto_calidad_servicio_personal,aeropuerto_tiempo_devolucion,aeropuerto_confort_coche,aeropuerto_tiempo_recogida,chamartin_score,chamartin_relacion_calidad_precio,chamartin_limpieza_vehiculo,chamartin_indicaciones_mostrador,chamartin_calidad_servicio_personal,chamartin_tiempo_devolucion,chamartin_confort_coche,chamartin_tiempo_recogida,atocha_score,atocha_relacion_calidad_precio,atocha_limpieza_vehiculo,atocha_indicaciones_mostrador,atocha_calidad_servicio_personal,atocha_tiempo_devolucion,atocha_confort_coche,atocha_tiempo_recogida,getafe_score,getafe_relacion_calidad_precio,getafe_limpieza_vehiculo,getafe_indicaciones_mostrador,getafe_calidad_servicio_personal,getafe_tiempo_devolucion,getafe_confort_coche,getafe_tiempo_recogida
2026-06-27,7.3,7.4,7.5,6.9,7.4,7.8,7.6,6.4,7.8,7.4,8.5,7.3,7.9,8,8.1,7.3,7.4,7.3,7.9,6.4,7.7,7.9,7.9,6.5,8.0,7,7.9,8.7,8.1,8.3,7.5,8.7
2026-06-28,7.3,7.4,7.5,6.9,7.4,7.8,7.6,6.4,7.8,7.4,8.5,7.3,7.9,8,8.1,7.3,7.4,7.3,7.9,6.4,7.7,7.9,7.9,6.5,8.0,7,7.9,8.7,8.1,8.3,7.5,8.7
2026-06-29,7.3,7.4,7.5,6.9,7.4,7.8,7.6,6.3,7.8,7.4,8.5,7.3,7.9,8,8.1,7.3,7.4,7.3,7.9,6.4,7.7,7.9,7.9,6.5,8.0,7,7.9,8.7,8.1,8.3,7.5,8.7
2026-06-30,7.3,7.4,7.5,6.9,7.4,7.8,7.6,6.3,7.8,7.5,8.5,7.4,8,8,8.1,7.4,7.4,7.3,7.9,6.4,7.7,7.9,7.9,6.5,8.0,7,7.9,8.7,8.1,8.3,7.5,8.7
2026-07-01,7.3,7.4,7.5,6.9,7.4,7.7,7.6,6.3,7.8,7.5,8.5,7.4,8,8,8.1,7.4,7.4,7.4,7.9,6.4,7.7,7.9,8,6.5,8.0,7,7.8,8.7,8.1,8.4,7.5,8.7
2026-07-02,7.3,7.3,7.5,6.9,7.4,7.7,7.7,6.2,7.9,7.6,8.6,7.5,8.1,8.1,8.2,7.5,7.4,7.4,7.9,6.4,7.7,7.9,7.9,6.5,8.0,7,7.8,8.7,8.1,8.4,7.5,8.7
2026-07-04,7.2,7.3,7.4,6.8,7.3,7.7,7.6,6.2,7.8,7.5,8.4,7.4,8,8,8,7.4,7.4,7.3,7.9,6.4,7.7,7.9,7.9,6.5,8.0,7,7.8,8.7,8.1,8.4,7.5,8.7
2026-07-05,7.2,7.3,7.4,6.8,7.3,7.7,7.5,6.2,7.8,7.5,8.4,7.5,8,8,8.1,7.4,7.4,7.3,7.9,6.4,7.7,7.9,7.9,6.5,8.2,7.2,8,8.8,8.2,8.5,7.7,8.8
2026-07-06,7.1,7.3,7.3,6.8,7.3,7.7,7.5,6.1,7.8,7.5,8.4,7.5,8,8,8.1,7.4,7.4,7.3,7.9,6.4,7.7,7.9,7.9,6.5,8.2,7.2,8,8.8,8.2,8.5,7.7,8.8
2026-07-07,7.1,7.3,7.3,6.8,7.3,7.7,7.5,6.1,7.8,7.5,8.4,7.5,8,8,8.1,7.4,7.4,7.3,7.9,6.4,7.7,7.9,7.9,6.5,8.2,7.2,8,8.8,8.2,8.5,7.7,8.8
2026-07-08,7.1,7.3,7.3,6.8,7.2,7.7,7.5,6.1,7.8,7.5,8.4,7.5,8,8,8.1,7.4,7.4,7.4,7.9,6.5,7.8,7.9,7.9,6.5,8.2,7.2,8,8.8,8.2,8.5,7.7,8.8
2026-07-09,7.1,7.3,7.3,6.7,7.2,7.6,7.5,6.1,7.7,7.5,8.3,7.3,7.9,7.9,8,7.3,7.4,7.4,7.9,6.5,7.8,7.9,7.9,6.5,8.2,7.2,8,8.8,8.2,8.5,7.7,8.8
2026-07-11,7.1,7.3,7.3,6.7,7.2,7.6,7.5,6.1,7.7,7.5,8.1,7.3,7.8,7.9,7.9,7.3,7.5,7.5,8,6.6,7.8,8,7.9,6.7,8.2,7.2,8,8.8,8.2,8.5,7.7,8.8
2026-07-13,7.1,7.3,7.3,6.7,7.2,7.6,7.5,6.1,7.7,7.5,8.1,7.3,7.8,7.9,7.9,7.3,7.5,7.5,8,6.6,7.8,8,7.9,6.7,8.2,7.2,8,8.8,8.2,8.5,7.7,8.8
